FeatureSet,Model,Accuracy,Precision,Recall,F1-Score
Original,Logistic Regression,0.8666666666666667,0.8333333333333334,0.8666666666666667,0.8444444444444444
Original,SVM,0.7333333333333333,0.6444444444444445,0.7333333333333333,0.6666666666666666
Original,KNN,0.9333333333333333,0.9,0.9333333333333333,0.9111111111111111
Original,Random Forest,0.8,0.7222222222222221,0.8,0.7444444444444444
Original,Decision Tree,0.4666666666666667,0.3444444444444444,0.4666666666666667,0.3777777777777777
Original,Naive Bayes,0.06666666666666667,0.0044444444444444444,0.06666666666666667,0.008333333333333333
Original,VotingClassifier_Full,0.9333333333333333,0.9,0.9333333333333333,0.9111111111111111
Original,AdaBoostClassifier,0.8,0.7222222222222221,0.8,0.7444444444444444
PCA,Logistic Regression,0.8666666666666667,0.8,0.8666666666666667,0.8222222222222222
PCA,SVM,0.7333333333333333,0.6222222222222222,0.7333333333333333,0.6555555555555556
PCA,KNN,0.9333333333333333,0.9,0.9333333333333333,0.9111111111111111
PCA,Random Forest,0.9333333333333333,0.9,0.9333333333333333,0.9111111111111111
PCA,Decision Tree,0.7333333333333333,0.6,0.7333333333333333,0.6444444444444445
PCA,Naive Bayes,0.8666666666666667,0.8,0.8666666666666667,0.8222222222222222
PCA,VotingClassifier_Full,0.9333333333333333,0.9,0.9333333333333333,0.9111111111111111
PCA,AdaBoostClassifier,0.9333333333333333,0.9,0.9333333333333333,0.9111111111111111
AutoEncoder,Logistic Regression,0.3333333333333333,0.25555555555555554,0.3333333333333333,0.27777777777777773
AutoEncoder,SVM,0.2,0.15,0.2,0.16
AutoEncoder,KNN,0.4666666666666667,0.43333333333333335,0.4666666666666667,0.4444444444444444
AutoEncoder,Random Forest,0.6,0.5133333333333333,0.6,0.5333333333333333
AutoEncoder,Decision Tree,0.5333333333333333,0.38888888888888895,0.5333333333333333,0.43333333333333335
AutoEncoder,Naive Bayes,0.4,0.2722222222222222,0.4,0.3044444444444444
AutoEncoder,VotingClassifier_Full,0.4666666666666667,0.43333333333333335,0.4666666666666667,0.4444444444444444
AutoEncoder,AdaBoostClassifier,0.6666666666666666,0.5722222222222222,0.6666666666666666,0.5933333333333334
